,owner,repo,mrr,recall100,recall500,recall1000,recall2000,recall5000,commit_count,cve_count
308,SecureAuthCorp,impacket,1.0,1.0,1.0,1.0,1.0,1.0,4065,1
309,moment,moment,0.2160973085,0.6666666667,1.0,1.0,1.0,1.0,4064,3
310,gofiber,fiber,0.1073494687,0.75,0.75,0.75,1.0,1.0,4058,4
311,jenkinsci,gerrit-trigger-plugin,0.07463684464,1.0,1.0,1.0,1.0,1.0,1951,5
312,aws,sagemaker-python-sdk,0.35,1.0,1.0,1.0,1.0,1.0,4048,2
313,DataTables,DataTablesSrc,0.09090909091,1.0,1.0,1.0,1.0,1.0,4043,1
314,jenkinsci,git-plugin,0.03003118769,0.8181818182,1.0,1.0,1.0,1.0,5385,11
315,jenkinsci,subversion-plugin,0.08399470899,1.0,1.0,1.0,1.0,1.0,1287,5
316,paramiko,paramiko,0.1833333333,1.0,1.0,1.0,1.0,1.0,4020,2
317,visjs,vis-timeline,0.004255319149,0.0,1.0,1.0,1.0,1.0,4006,1
318,dynamoose,dynamoose,0.01265822785,1.0,1.0,1.0,1.0,1.0,4002,1
319,solana-labs,solana-web3.js,0.01428571429,1.0,1.0,1.0,1.0,1.0,4002,1
320,graphql,graphiql,1.0,0.3333333333,1.0,1.0,1.0,1.0,3979,1
321,dojo,dojo,0.1685323383,0.5,1.0,1.0,1.0,1.0,3967,2
322,Wechat-Group,WxJava,0.3333333333,1.0,1.0,1.0,1.0,1.0,3955,1
323,jenkinsci,github-plugin,0.286031746,1.0,1.0,1.0,1.0,1.0,845,5
324,gchq,CyberChef,0.2,1.0,1.0,1.0,1.0,1.0,3901,1
325,apache,atlas,0.1428571429,1.0,1.0,1.0,1.0,1.0,3889,1
326,jenkinsci,kubernetes-plugin,0.02972497339,0.6,1.0,1.0,1.0,1.0,4313,5
327,pytorch,serve,0.01932230265,0.75,1.0,1.0,1.0,1.0,3885,4
328,apache,shiro,0.02857142857,1.0,1.0,1.0,1.0,1.0,3880,1
329,coder,code-server,0.1715210356,0.5,1.0,1.0,1.0,1.0,3879,2
330,deepset-ai,haystack,0.05,1.0,1.0,1.0,1.0,1.0,3858,2
331,ollama,ollama,0.625,1.0,1.0,1.0,1.0,1.0,3843,2
332,lima-vm,lima,0.125,1.0,1.0,1.0,1.0,1.0,3840,1
333,jenkinsci,config-file-provider-plugin,0.135779953,1.0,1.0,1.0,1.0,1.0,984,7
334,kubernetes,apiextensions-apiserver,0.00138121547,0.0,0.0,1.0,1.0,1.0,3825,1
335,vert-x3,vertx-web,0.06666666667,1.0,1.0,1.0,1.0,1.0,3819,1
336,trufflesecurity,trufflehog,0.0625,1.0,1.0,1.0,1.0,1.0,3817,1
337,mapproxy,mapproxy,0.002994011976,0.0,1.0,1.0,1.0,1.0,3806,1
338,apache,commons-net,0.04545454545,1.0,1.0,1.0,1.0,1.0,3794,1
339,laurent22,joplin,0.2985120099,0.5833333333,1.0,1.0,1.0,1.0,12489,12
340,qutebrowser,qutebrowser,0.3597222222,1.0,1.0,1.0,1.0,1.0,25391,4
341,javamelody,javamelody,0.3901859058,0.6666666667,1.0,1.0,1.0,1.0,3777,3
342,springfox,springfox,1.0,1.0,1.0,1.0,1.0,1.0,3755,1
343,sigstore,policy-controller,0.03571428571,1.0,1.0,1.0,1.0,1.0,3750,1
344,runatlantis,atlantis,1.0,1.0,1.0,1.0,1.0,1.0,3747,1
345,apache,httpcomponents-client,0.0401826484,0.75,1.0,1.0,1.0,1.0,3742,2
346,bcgit,bc-java,0.006383539844,0.125,0.75,0.75,1.0,1.0,16521,4
347,dw,mitogen,0.04761904762,1.0,1.0,1.0,1.0,1.0,3742,1
